Domínio,,,CÓDIGO,CRÉDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,,PERÍODIZAÇÃO
Animação,,,ART 1050,3,1AA,DESENHO DE OBSERVAÇÃO,,,,,6,11-14,ART 4,20 QQC,Carlos André ,mudou professor,1º
OBS,,,ART 1053,2,1AA,DESENHO DE MODELO VIVO,2,,,,,15-17,ART 3,20 CDI,Luciana Grether,,2º Optativas de desenho
,,,ART 1056,2,1AA,HISTÓRIA DA ARTE II,,,4,,,13-15,VIRTUAL,22 CDI / 3 QQC,Jorge Langone,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design 
,,,ART 1056,2,1AB,HISTÓRIA DA ARTE II,,,,5,,07-09,VIRTUAL,22 CDI / 3 QQC,Luiza Interlenghi,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design 
,,,ART 1116,3,1AA,LINGUAGEM DA  ILUSTRAÇÃO,,,,,6,07-10,ART 4,10 BCV/ 3 QQC/ 7CDI,Nathalia Cavalcante,,6º CV optativa representação em comunicação visual
,,,ART 1420,4,1AA,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,09-11,VIRTUAL,25 CDI / 2 QQC,Barbara Necyk,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,,ART 1420,4,1AB,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,11-13,VIRTUAL,25 CDI / 2 QQC,Jorge Langone,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
Animação,,,ART 1839,4,1AA,TEA X - DESIGN DE HISTÓRIAS: TEORIA E TECNICA DE NARRATIVAS ,,3,,5,,13-15,VIRTUAL,10 CDI / 10 QQC,Miguel Carvalho,,Optativa Midia Digital
,,,ART 1857,4,1AA,MADEIRA (Bambu),2,,,,,09-13,ART 4,20 QQC,Luis Vicente,,Eletiva 
,,,ART 1858,4,1AA,INTRODUÇÃO À PESQUISA,,,,,,SHF,VIRTUAL,25 QQC,Jackeline Farbiarz 3 / Claudia Bolshaw 1 ,,Eletiva 
