Dom. Ad.,EQUIV.,SUPERVISÃO,CODIGO,CR.,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO
Animação,,João,ART1050,3,1AA,DESENHO DE OBSERVAÇÃO,,,,,6,11-14,ART 4,10 ART/10 QQC,Carlos André ,1º período
,,João,ART1053,2,1AA,DESENHO DE MODELO VIVO,2,,,,,11-13,L 422,10 ART/10 QQC,Luciana Grether,2º Optativas de desenho
146/10 CRÉDITOS,DSG0100,Luiza,ART1056,2,1AA,HISTÓRIA DA ARTE II,2,,,,,15-17,VIRTUAL,10 ART/10 QQC,Jorge Langone,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,DSG0100,Luiza,ART1056,2,1AB,HISTÓRIA DA ARTE II,,,,5,,07-09,VIRTUAL,10 ART/10 QQC,Luiza Interlenghi,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,João,ART1114,4,1AA,TECNICAS DE ILUSTRAÇÃO,,,,,6,11-15,K 017,10 ART/10 QQC,Mateu Velasco,6º CV optativa de representação em CV
,,Bebel,ART1116,3,1AA,LINGUAGEM DA  ILUSTRAÇÃO,,,,,6,07-10,ART 4,10 ART/10 QQC,Nathalia Cavalcante,6º CV optativa de representação em CV
,DSG0100,Luiza,ART1420,4,1AA,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,09-11,VIRTUAL,20 ART / 2 QQC,Daniela Oliveira,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,DSG0100,Luiza,ART1420,4,1AB,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,13-15,VIRTUAL,20 ART / 2 QQC,Jorge Langone,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
Animação,,Bebel,ART1839,4,1AA,TEA X - DESIGN DE HISTÓRIAS: TEORIA E TECNICA DE NARRATIVAS ,,3,,5,,13-15,VIRTUAL,10 ART/10 QQC,Miguel Carvalho,Optativa Midia Digital
,,Bebel,ART1858,4,1AA,INTRODUÇÃO À PESQUISA,,,,,,SHF,VIRTUAL,25 QQC,Claudia Bolshaw 1 Luiza Novaes 2 Palestra 1,Eletiva 
,,Eliane,DSG1013,3,1AA,"DEXPO – Design, Extensão e Política",,3,,,,13-16,Depto,15 ART,Gamba Junior tem que ter palestrante ,EXTENSÃO 
,,Bebel,DSG1030,2,1AA,ANTEPROJETO ESPECÍFICO CV,,3,,,,11-13,VIRTUAL,12 ECV,Maria Julia 2 Izabel Oliveira 0,7º para CV
,,Bebel,DSG1030,2,1AB,ANTEPROJETO ESPECÍFICO CV,,3,,,,11-13,VIRTUAL,12 ECV,Izabel Oliveira 2,7º para CV
,,Bebel,DSG1030,2,1AC,ANTEPROJETO ESPECÍFICO CV,,3,,,,11-13,VIRTUAL,12 ECV,Suzana Valladares 2 Izabel Oliveira 0,7º para CV
,,Bebel,DSG1031,10,1AA,PROJETO ESPECIFICO CV,,3,,5,,07-11/07-13,L 658,12 ECV ,André Beltrao 5 Izabel Oliveira 0  Julieta Sobral 3 Gabriela Gusmão 2,7º para CV
,,Bebel,DSG1031,10,1AB,PROJETO ESPECIFICO CV,,3,,5,,07-11/07-13,L 658,12 ECV ,"Suzana Valladares 5, Izabel Oliveira 0, Julieta Sobral 2, Evelyn Grumach 3",7º para CV
,,Bebel,DSG1032,10,1AA,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 232,14 ECV ,Roberta Portas 5 Izabel Oliveira 0  Fábio Lopez 0  Julieta Sobral 4 Evelyn Grumach 0  Luiz Ludwig 0 Vera Damazio 1,8º para CV 
,,Bebel,DSG1032,10,1AB,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 232,14 ECV ,Luiz Ludwig 5 Izabel Oliveira 3 Roberta 0 Fábio Lopez 0 Julieta 0 Evelyn Grumach 0 Vera Damazio 0 Palestra 2,8º para CV 
,,Bebel,DSG1032,10,1AC,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 260,14 ECV ,Fábio Lopez 5 Roberta Portas 0 Izabel Oliveira 0  Luiz Ludwig 0 Evelyn Grumach 3 Julieta Sobral 0 Vera Damazio 1 Palestra 1,8º para CV 
,,João,DSG1041,10,1AA,PROJETO ESPECIFICO DIG,,3,,5,,07-13/07-11,L 422,11 DIG ,João Bonelli 5 Mª das Graças 0 Eliane Garcia 1 Marcelo Pereira 1 Guilherme Xavier 1 Joy Till 1 Claudia Bolshaw 1,7º para DIG
,,João,DSG1041,10,1AB,PROJETO ESPECIFICO DIG,,3,,5,,07-13/07-11,L 422,11 DIG,Mª das Graças 5 João Bonelli 0 Eliane Garcia 1 Marcelo Pereira 1 Guilherme Xavier 1 Joy Till 1 Claudia Bolshaw 1 ,7º para DIG
,,João,DSG1042,10,1AA,PROJETO FINAL DIG,,3,,,6,07-11/07-13,L 532,15 DIG,Marcelo Pereira 5 Mª das Graças 0 João Bonelli 1 Eliane Garcia 1 Guilherme Xavier 1 Claudia Bolshaw 1 Joy Till 1  ,8º para DIG
,,João,DSG1042,10,1AB,PROJETO FINAL DIG,,3,,,6,07-11/07-13,L 532,15 DIG,Mª das Graças 5 Marcelo Pereira 0 João Bonelli 1 Eliane Garcia 0 Guilherme Xavier 1 Claudia Bolshaw 1 Joy Till 1 Palestra 1,8º para DIG
,,Bel,DSG1051,10,1AA,PROJETO ESPECIFICO MOD,,3,,5,,07-13/07-11,LAB MOD/ART 1,11 MOD ,Isabel Martins 5 Priscila Andrade 0 Horista a contratar 2 Maria Eloisa 3 ,7º para MOD
,,Bel,DSG1051,10,1AB,PROJETO ESPECIFICO MOD,,3,,5,,07-13/07-11,LAB MOD/ART 1,11 MOD,Priscila Andrade 5 Isabel Martins 0 Horista a contratar 3 Maria Eloisa 2 ,7º para MOD
,,Bel,DSG1052,8,1AA,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),12 MOD,Luiza Marcier 4 Isabel Martins 0 Luciana Barbosa 2 Walvyker Souza 2,8º para MOD
,,Bel,DSG1052,8,1AB,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),12 MOD,Isabel Martins 4 Luiza Marcier 0 Luciana Barbosa 2 Walvyker Souza 2 ,8º para MOD
,,Kayat,DSG1061,10,1AA,PROJETO ESPECÍFICO PP,,3,,5,,07-11/07-13,ART1/ART2,10 EPP,Augusto Seibel 5 Felipe Rangel 2 Claudia Kayat 0 Daniel Malaguti 2  Guilherme Lorenzon 1,7º para PP
,,Kayat,DSG1061,10,1AB,PROJETO ESPECÍFICO PP,,3,,5,,07-11/07-13,ART1/ART2,10 EPP,Claudia Kayat 5 Augusto Seibel 0 Felipe Rangel 2 Daniel Malaguti 2 Guilherme Lorenzon 1,7º para PP
,,Kayat,DSG1062,10,1AA,PROJETO FINAL PP,,3,,,6,07-11/07-13,F 100,10 EPP,Felipe Rangel 4 Claudia Kayat 2 Augusto Seibel 0 Gabriella Vaccari 3 Daniel Malaguti 1,8º para PP
,,Kayat,DSG1062,10,1AB,PROJETO FINAL PP,,3,,,6,07-11/07-13,F 100,10 EPP,Augusto Seibel 5 Felipe Rangel 0 Claudia Kayat 2  Gabriella Vaccari 2 Jorge Lopes 1 Daniel Malaguti 0,8º para PP
,DSG0100,Luiza,DSG1102,2,1AA,HISTORIA DO DESIGN II,,3,,,,11-13,VIRTUAL,10 ART/10 QQC,Joaquim Redig,Optativa de História da Arte e do Design
