SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Luiza Marcier,ART1420,1AA,4,CULTURA MODERNA/CONTEMPORANEA,FALSE,FALSE,TRUE,FALSE,TRUE,11,13,VIRTUAL,10 ART/10 QQC,LUIZA MARIA INTERLENGHI,4,,,,,,,,,,,,,,,,,,,
Luiza Marcier,ART1420,1AB,4,CULTURA MODERNA/CONTEMPORANEA,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,VIRTUAL,10 ART/10 QQC,DANIELA CORREA DE OLIVEIRA,4,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,ART1839,1AA,4,TEA X - DESIGN DE HISTÓRIAS: TEORIA E TECNICA DE NARRATIVAS ,TRUE,FALSE,TRUE,FALSE,FALSE,11,13,VIRTUAL,10 ART/10 QQC,MIGUEL SANTOS DE CARVALHO,4,,,,,,,,,,,,,,,,,,,
Eliane Garcia,ART1858,1AA,4,INTRODUÇÃO À PESQUISA,FALSE,FALSE,FALSE,FALSE,FALSE,,,SHF,10 ART/10 QQC,JACKELINE LIMA FARBIARZ,2,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1030,1AA,2,ANTEPROJETO ESPECÍFICO CV,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,VIRTUAL,17 ECV,MARIA JULIA MORAES PINTO NUNES,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1031,1AA,10,PROJETO ESPECIFICO CV,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,L658,10 ECV,IZABEL MARIA DE OLIVEIRA,3,ANDRE LUIS FERREIRA BELTRAO,3,JULIETA COSTA SOBRAL,2,GABRIELA DE GUSMAO PEREIRA,2,,,,,,,,,,,,,
Izabel Oliveira,DSG1031,1AA,10,PROJETO ESPECIFICO CV,FALSE,FALSE,FALSE,TRUE,FALSE,7,13,L658,,IZABEL MARIA DE OLIVEIRA,,ANDRE LUIS FERREIRA BELTRAO,,JULIETA COSTA SOBRAL,,GABRIELA DE GUSMAO PEREIRA,,,,,,,,,,,,,,
Izabel Oliveira,DSG1032,1AA,10,PROJETO FINAL CV,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,L232,18 ECV,LUIZ TORRES LUDWIG,4,IZABEL MARIA DE OLIVEIRA,1,JULIETA COSTA SOBRAL,2,EVELYN GRUMACH,,ROBERTA PORTAS GONCALVES RODRIGUES,3,,,,,,,,,,,
Izabel Oliveira,DSG1032,1AA,10,PROJETO FINAL CV,FALSE,FALSE,FALSE,FALSE,TRUE,7,13,L232,,LUIZ TORRES LUDWIG,,IZABEL MARIA DE OLIVEIRA,,JULIETA COSTA SOBRAL,,EVELYN GRUMACH,,ROBERTA PORTAS GONCALVES RODRIGUES,,,,,,,,,,,,
Izabel Oliveira,DSG1032,1AB,10,PROJETO FINAL CV,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,L232,18 ECV,FABIO PINTO LOPES DE LIMA,4,ROBERTA PORTAS GONCALVES RODRIGUES,,IZABEL MARIA DE OLIVEIRA,1,EVELYN GRUMACH,3,JULIETA COSTA SOBRAL,,Z_PALESTRA,2,,,,,,,,,
