SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H 5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Eliane Garcia,ART1053,1AA,2,DESENHO DE MODELO VIVO,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1030,1AA,2,ANTEPROJETO ESPECÍFICO CV,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,VIRTUAL,17 ECV,MARIA JULIA MORAES PINTO NUNES,,IZABEL MARIA DE OLIVEIRA,,SUZANA VALLADARES FONSECA,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1031,1AA,10,PROJETO ESPECIFICO CV,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,L658,10 ECV,IZABEL MARIA DE OLIVEIRA,,ANDRE LUIS FERREIRA BELTRAO,,JULIETA COSTA SOBRAL,,GABRIELA DE GUSMAO PEREIRA,,,,,,,,,,,,,,
Izabel Oliveira,DSG1031,1AA,10,PROJETO ESPECIFICO CV,FALSE,FALSE,FALSE,TRUE,FALSE,7,13,L658,,,,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1032,1AA,10,PROJETO FINAL CV,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,L232,15ECV,ALESSANDRA CARUSI MACHADO,,IZABEL MARIA DE OLIVEIRA,,FABIO PINTO LOPES DE LIMA,,JULIETA COSTA SOBRAL,,EVELYN GRUMACH,,LUIZ TORRES LUDWIG,,VERA MARIA MARSICANO DAMAZIO,,,,,,,,
Izabel Oliveira,DSG1032,1AA,10,PROJETO FINAL CV,FALSE,FALSE,FALSE,FALSE,TRUE,7,13,L232,,,,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1032,1AB,10,PROJETO FINAL CV,TRUE,FALSE,FALSE,FALSE,FALSE,7,11,L232,15 ECV,LUIZ TORRES LUDWIG,,ROBERTA PORTAS GONCALVES RODRIGUES,,IZABEL MARIA DE OLIVEIRA,,FABIO PINTO LOPES DE LIMA,,JULIETA COSTA SOBRAL,,EVELYN GRUMACH,,VERA MARIA MARSICANO DAMAZIO,,,,,,,,
Izabel Oliveira,DSG1032,1AB,10,PROJETO FINAL CV,FALSE,FALSE,FALSE,FALSE,FALSE,7,13,L232,,,,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1032,1AC,10,PROJETO FINAL CV,TRUE,FALSE,FALSE,FALSE,FALSE,7,11,L260,15 ECV???,FABIO PINTO LOPES DE LIMA,,ROBERTA PORTAS GONCALVES RODRIGUES,,LUIZ TORRES LUDWIG,,IZABEL MARIA DE OLIVEIRA,,JULIETA COSTA SOBRAL,,EVELYN GRUMACH,,VERA MARIA MARSICANO DAMAZIO,,,,,,,,
Izabel Oliveira,DSG1032,1AC,10,PROJETO FINAL CV,FALSE,FALSE,FALSE,FALSE,TRUE,7,13,L260,,,,,,,,,,,,,,,,,,,,,,
