DomInio,,CODIGO,CREDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1053,2,1AA,DESENHO DE MODELO VIVO,2,,,,,15-17,ART 3,20 ART,Luciana Grether,2¼ Optativas de desenho,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1053,2,1AB,DESENHO DE MODELO VIVO,2,,,,,17-19,ART 3,10 ART/ 10 QQC,Luciana Grether,2¼ Optativas de desenho,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1056,2,1AA,HISTORIA DA ARTE II,,,4,,,13-15,VIRTUAL,22 ART / 3 QQC,Jorge Langone,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1056,2,1AB,HISTORIA DA ARTE II,,,,5,,07-09,VIRTUAL,22 ART / 3 QQC,Luiza Interlenghi,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1114,4,1AA,TECNICAS DE ILUSTRACAO,,,,,6,11-15,K 017,20 ART ,Mateu Velasco,6¼ CV optativa representaCAo em comunicaCAo visual,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1116,3,1AA,LINGUAGEM DA  ILUSTRACAO,,,,,6,07-10,ART 4,10 ECV/ 3 QQC/ 7ART ,Nathalia Cavalcante,6¼ CV optativa representaCAo em comunicaCAo visual,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1420,4,1AA,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,09-11,VIRTUAL,25 ART / 2 QQC,Barbara Necyk,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1420,4,1AB,CULTURA MODERNA/CONTEMPORANEA,2,,4,,,11-13,VIRTUAL,25 ART / 2 QQC,Jorge Langone,2¼/3¼/5¼/6¼/7¼ para CV e DIG - 2¼/3¼/4¼/6¼/8¼ para MOD - 2¼/3¼/4¼/5¼/7¼ para PP optativa historia da arte e do design,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,ART 1839,4,1AA,TEA X - DESIGN DE HISTORIAS: TEORIA E TECNICA DE NARRATIVAS ,,3,,5,,13-15,VIRTUAL,10 ART / 10 QQC,Miguel Carvalho,Optativa Midia Digital,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1857,4,1AA,MADEIRA (Bambu),2,,,,,09-13,ART 4,20 QQC,Luis Vicente,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,ART 1858,4,1AA,INTRODUCAO Ë PESQUISA,,,,,,SHF,VIRTUAL,25 QQC,Jackeline Farbiarz 3 / Claudia Bolshaw 1,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre,COM 1720,2,2AA,COMUNICACAO, CULTURA E CONSUMO,,,,,6,09-11,VIRTUAL,30 ART,Claudia Brutt GuimarAes,4¼ para CV, DIG e MOD e 6¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,Ultimo semestre,COM 1721,2,2AA,SEMIOLOGIA E COMUNICACAO,,,4,,,15-17,VIRTUAL,30 ART,JosE Antonio de Oliveira,2¼/2007,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1030,2,1AA,ANTEPROJETO ESPECIFICO CV,,3,,,,11-13,VIRTUAL,15 ECV ,Rita Couto  2 Izabel Oliveira 0,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1030,2,1AB,ANTEPROJETO ESPECIFICO CV,,3,,,,11-13,VIRTUAL,15 ECV ,Izabel Oliveira 2,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1030,2,1AC,ANTEPROJETO ESPECIFICO CV,,3,,,,11-13,VIRTUAL,15 ECV ,Maria Julia 2 Izabel Oliveira 0,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1030,2,1AD,ANTEPROJETO ESPECIFICO CV,,3,,,,11-13,VIRTUAL,15 ECV ,Flavia Nizia 2 Izabel Oliveira 0,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1031,10,1AA,PROJETO ESPECIFICO CV,,3,,5,,07-11/07-13,L 658,14 ECV,AndrE Beltrao 5 Izabel Oliveira 0  Julieta Sobral 3 Gabriela GusmAo 2,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1031,10,1AB,PROJETO ESPECIFICO CV,,3,,5,,07-11/07-13,ART 1/ ART 2,14 ECV,Suzana Valladares 5, Izabel Oliveira 0, Fabiana Prado 2, Evelyn Grumach 3,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1031,10,1AC,PROJETO ESPECIFICO CV,,3,,5,,07-11/07-13,L 658,14 ECV,Julieta Sobral 5 Izabel Oliveira 0 Gabriela GusmAo 3 Guto Lins 2,7¼ para CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1032,10,1AA,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 232,16 ECV ,Roberta Portas 5 Izabel Oliveira 0  FAbio Lopez 0  Julieta Sobral 4 Evelyn Grumach 0  Luiz Ludwig 0 Vera Damazio 1,8¼ para CV ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1032,10,1AB,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 260,16 ECV ,Luiz Ludwig 5 Izabel Oliveira 3 Roberta 0 FAbio Lopez 0 Julieta 0 Evelyn 0 Vera Damazio 0 Palestra 2,8¼ para CV ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1032,10,1AC,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 260,16 ECV ,FAbio Lopez 5 Roberta Portas 0 Izabel Oliveira 0  Luiz Ludwig 0 Evelyn Grumach 3 Julieta Sobral 0 Vera Damazio 1 Palestra 1,8¼ para CV ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1041,10,1AA,PROJETO ESPECIFICO DIG,,3,,5,,07-13/07-11,L 422,15 DIG ,M» das GraCas 5 JoAo Bonelli 0 Eliane Garcia 0  0 Marcelo Pereira 1 Guilherme Xavier 1 Joy Till 1 Claudia Bolshaw 1 Palestra 1,7¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1041,10,1AB,PROJETO ESPECIFICO DIG,,3,,5,,07-13/07-11,L 422,15 DIG,Eliane Garcia 5 JoAo Bonelli 0 M» das GraCas 0 Marcelo Pereira 1 Guilherme Xavier 1 Joy Till 1 Claudia Bolshaw 1 Palestra 1,7¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1041,10,1AC,PROJETO ESPECIFICO DIG,,3,,5,,07-13/07-11,L 422,15 DIG,JoAo Bonelli 5 M» das GraCas 0 Marcelo Pereira 1 Guilherme Xavier 1 Joy Till 1 Claudia Bolshaw 1 Alexandre Cantini 1,7¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1042,10,1AA,PROJETO FINAL DIG,,3,,,6,07-11/07-13,L 532,11 DIG ,M» das GraCas 5 JoAo Bonelli 1 Marcelo Pereira 0  Eliane Garcia 1 Guilherme Xavier 1 Claudia Bolshaw 1 Joy Till 1  ,8¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1042,10,1AB,PROJETO FINAL DIG,,3,,,6,07-11/07-13,L 532,11 DIG,Marcelo Pereira 5  JoAo Bonelli 1 M» das GraCas 0 Eliane Garcia 1 Guilherme Xavier 1 Claudia Bolshaw 1 Joy Till 1 ,8¼ para DIG,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1051,10,1AA,PROJETO ESPECIFICO MOD,,3,,5,,07-13/07-11,LAB MOD/ART 1,13 MOD ,Isabel Martins 5 Priscila Andrade 0 Joana Pessoa 2 Palestra 3 ,7¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1051,10,1AB,PROJETO ESPECIFICO MOD,,3,,5,,07-13/07-11,LAB MOD/ART 1,13 MOD,Priscila Andrade 5 Isabel Martins 0 Joana Pessoa 3 Palestra 2 ,7¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1052,8,1AA,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6»),11 MOD ,Luiza Marcier 4 Isabel Martins 0 Luciana Barbosa 2 Walvyker Souza 2,8¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1052,8,1AB,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6»),11 MOD,Isabel Martins 4 Luiza Marcier 0 Luciana Barbosa 2 Walvyker Souza 2 ,8¼ para MOD,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1061,10,1AA,PROJETO ESPECIFICO PP,,3,,5,,07-11/07-13,VIRTUAL/F100,11 EPP ,Augusto Seibel 5 Felipe Rangel 2 Claudia Kayat 0 Daniel Malaguti 2  Jorge Lopes 1,7¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
