lat,long,horario
-22.978857766666668,-43.22796943333333,12:14:6
-22.978857483333332,-43.22796916666666,12:15:0
-22.9785336,-43.22666859999999,12:15:4
-22.978497216666664,-43.22647276666667,12:15:8
-22.97846305,-43.22621081666666,12:15:12
-22.97843526666666,-43.22591971666667,12:15:16
-22.978415816666665,-43.22570026666667,12:15:21
-22.97838166666667,-43.22546943333333,12:15:25
-22.978336100000003,-43.22524138333333,12:15:29
-22.978286933333333,-43.22500471666667,12:15:33
-22.97824305,-43.2247986,12:15:37
-22.97820888333333,-43.22460721666666,12:15:41
-22.978159166666668,-43.224369716666665,12:15:45
-22.978104433333336,-43.22412859999999,12:15:49
-22.978060550000002,-43.22390943333333,12:15:53
-22.978016650000004,-43.223651933333336,12:15:57
-22.97793666666666,-43.22327138333333,12:16:1
-22.977879999999995,-43.22301026666667,12:16:5
-22.97784805,-43.222860833333336,12:16:9
-22.97783,-43.222778883333326,12:16:13
-22.9778286,-43.222772766666665,12:16:17
-22.9778286,-43.222772766666665,12:16:22
-22.9778286,-43.222772766666665,12:16:26
-22.9778286,-43.222772766666665,12:16:30
-22.9778286,-43.222772766666665,12:16:34
-22.9778286,-43.222772766666665,12:16:38
-22.9778286,-43.222772766666665,12:16:42
-22.977826383333333,-43.22276221666666,12:16:46
-22.97779943333333,-43.22262860000001,12:16:50
-22.9777311,-43.222306100000004,12:16:54
-22.977629999999998,-43.22186888333334,12:16:58
-22.977504999999994,-43.22131805000001,12:17:2
-22.977419716666667,-43.22087750000001,12:17:6
-22.97732693333333,-43.22044721666666,12:17:10
-22.977243050000002,-43.22004359999999,12:17:14
-22.977139166666667,-43.21968333333333,12:17:18
-22.976983883333332,-43.219383883333336,12:17:23
-22.976777766666668,-43.21914555,12:17:27
-22.976574433333337,-43.21897359999999,12:17:31
-22.976456100000004,-43.21890276666666,12:17:35
-22.976441100000002,-43.218895833333335,12:17:39
-22.976441100000002,-43.218895833333335,12:17:43
-22.976441100000002,-43.218895833333335,12:17:47
-22.976413049999998,-43.21888526666667,12:17:51
-22.976274433333334,-43.218842499999994,12:17:55
-22.9760936,-43.21879860000001,12:17:59
-22.975750000000005,-43.218671383333344,12:18:3
-22.975438050000005,-43.218538599999995,12:18:7
-22.9750836,-43.21839026666667,12:18:11
-22.974741383333335,-43.21825888333333,12:18:15
-22.974419983333338,-43.21813971666667,12:18:19
-22.974099149999997,-43.218021383333344,12:18:24
-22.973723049999997,-43.21790526666667,12:18:28
-22.973302766666666,-43.21778331666666,12:18:32
-22.972858600000002,-43.217673049999995,12:18:36
-22.972421933333333,-43.217586383333334,12:18:40
-22.972033049999993,-43.21752221666667,12:18:44
-22.971803050000002,-43.21749110000001,12:18:48
-22.9717036,-43.21747776666666,12:18:52
-22.97164748333333,-43.217470266666666,12:18:56
-22.971576383333332,-43.21746138333333,12:19:0
-22.971348316666663,-43.21743305,12:19:4
-22.971101100000002,-43.21741583333334,12:19:8
