lat,long,horario
-22.979165359040206,-43.23261242545654,15:22:43
-22.979165359040206,-43.23261242545654,15:22:47
-22.979165359040206,-43.23261242545654,15:22:51
-22.979165359040206,-43.23261242545654,15:22:55
-22.979165359040206,-43.23261242545654,15:22:59
-22.979165359040206,-43.23261242545654,15:23:3
-22.978984003590437,-43.232537725940894,15:23:7
-22.978974993406457,-43.232580424725136,15:23:11
-22.978892850906554,-43.232703638331344,15:23:16
-22.978724511690725,-43.23275970263416,15:23:20
-22.978714752135048,-43.23274408225616,15:23:24
-22.97872418313425,-43.23273742568044,15:23:28
-22.978728525678363,-43.23272830518375,15:23:32
-22.978729456694122,-43.23272814078455,15:23:36
-22.97874050926188,-43.23290766122977,15:23:40
-22.978752532718353,-43.23297546860515,15:23:44
-22.978688032065513,-43.23296967869342,15:23:48
-22.9786743150507,-43.232950137776875,15:23:52
-22.978555096528556,-43.233147731425845,15:23:56
-22.978482252707494,-43.23327822971163,15:24:0
-22.978515492928487,-43.23327642572088,15:24:4
-22.97854860595084,-43.23324963968167,15:24:8
-22.978639538978946,-43.23323868306206,15:24:12
-22.978684053752936,-43.233224181881766,15:24:17
-22.978666061836922,-43.2333179832591,15:24:21
-22.978642467291127,-43.23337443668862,15:24:25
-22.978733203643298,-43.23308902991131,15:25:5
-22.978740991047005,-43.23312543446488,15:25:9
-22.97874173558091,-43.233125433525956,15:25:14
-22.97877054668399,-43.23333074157482,15:25:18
-22.97877885063676,-43.23341017732112,15:25:22
-22.978585926058035,-43.233680469827824,15:25:26
-22.978511787448014,-43.23378068313073,15:25:30
-22.97874267786882,-43.233839407855,15:25:34
-22.978906320466074,-43.23385138501836,15:25:38
-22.97915474030853,-43.233864998314814,15:25:42
-22.9792411020683,-43.233857987566,15:25:46
-22.979245115025822,-43.23360486339108,15:25:50
-22.97919826930294,-43.233461918734534,15:25:54
-22.979218947776253,-43.23364521461869,15:25:58
-22.979212482605263,-43.233753912734045,15:26:2
-22.979355282167088,-43.23366926108795,15:26:6
-22.979409208614165,-43.2336254671969,15:26:10
-22.97945602310636,-43.233666473781646,15:26:14
-22.979457700215907,-43.23368895259903,15:26:19
-22.97937220365053,-43.233810033655736,15:26:23
-22.979301511301696,-43.23387830779281,15:26:27
-22.979196235403904,-43.23397113192319,15:27:54
-22.979434035796203,-43.23319503722129,15:27:58
-22.979435266253574,-43.23319271199168,15:28:3
-22.979419879242304,-43.23302971507534,15:28:7
-22.97941466787616,-43.2330007351185,15:28:11
-22.979485929514542,-43.23303814914964,15:28:15
-22.979503001906274,-43.23305740433427,15:28:19
-22.979393906873558,-43.2329755801793,15:28:23
-22.979353787226117,-43.23294687705089,15:28:27
-22.97939243502388,-43.23298321011458,15:28:31
-22.979408074268736,-43.23299882220555,15:28:35
-22.979324586423836,-43.23293289031659,15:28:39
-22.979303358176978,-43.23291529793163,15:28:43
-22.979302786412543,-43.2328613814817,15:28:47
-22.97930841539035,-43.232853164660455,15:28:51
-22.979252450001546,-43.232891091837715,15:28:55
-22.979240480961927,-43.23290129770588,15:28:59
-22.9792744848488,-43.232834492659215,15:29:4
-22.97928424268777,-43.232819885113564,15:29:8
-22.97926734347443,-43.23272396980307,15:29:12
-22.97926076308559,-43.23270636109439,15:29:16
-22.97917814969117,-43.232575189620036,15:29:20
-22.97916951194564,-43.23256294335057,15:29:24
-22.97912751585435,-43.232483217694075,15:29:31

