longitude,latitude,altitude,speed,course,date,time,satellites,temperatura,umidade
-43.305.110,-22.861.215,210.3,0.0,0.0,150425,10110100,5,0.00,0
-43.305.137,-22.861.228,197.2,2.5,240.9,150425,10110600,5,23.80,87
-43.305.191,-22.861.248,191.9,4.1,291.0,150425,10111100,5,23.40,90
-43.305.259,-22.861.217,177.8,1.2,270.4,150425,10111700,5,23.40,90
-43.305.313,-22.861.227,169.0,2.2,241.6,150425,10112200,5,23.40,90
-43.305.374,-22.861.238,158.5,2.4,236.2,150425,10112800,5,23.40,90
-43.305.450,-22.861.209,152.2,2.1,264.9,150425,10113300,5,23.40,90
-43.305.507,-22.861.230,145.0,2.8,246.3,150425,10113800,5,23.40,90
-43.305.538,-22.861.263,137.8,2.4,189.7,150425,10114400,5,23.40,90
-43.305.591,-22.861.297,130.6,4.3,178.6,150425,10114900,5,23.40,90
-43.305.667,-22.861.282,124.3,1.9,237.0,150425,10115400,5,23.40,91
-43.305.740,-22.861.282,113.8,2.2,235.0,150425,10120000,5,23.40,91
-43.305.789,-22.861.289,106.3,2.2,187.2,150425,10120500,5,23.40,91
-43.305.862,-22.861.274,99.4,3.2,252.5,150425,10121000,5,23.40,91
-43.305.961,-22.861.244,94.5,2.0,257.6,150425,10121600,5,23.40,91
-43.306.049,-22.861.221,88.6,2.7,246.4,150425,10122100,5,23.40,91
-43.306.102,-22.861.242,82.3,3.2,235.0,150425,10122700,5,23.40,91
-43.306.156,-22.861.438,92.2,1.8,263.7,150425,10123200,6,23.40,91
-43.306.236,-22.861.469,92.8,3.0,241.2,150425,10123700,6,23.40,91
-43.306.343,-22.861.553,105.0,2.9,251.9,150425,10124300,6,23.40,92
-43.306.400,-22.861.574,104.3,2.8,266.0,150425,10124800,6,23.40,92
-43.306.488,-22.861.598,103.7,3.2,268.9,150425,10125400,6,23.40,91
-43.306.526,-22.861.612,102.7,1.8,239.2,150425,10125900,6,23.40,91
-43.306.552,-22.861.648,103.0,0.1,230.1,150425,10130400,6,23.70,91
