longitude,latitude,altitude,speed,course,date,time,satellites,temperatura,umidade
-43.160728,-22.943132,309.7,0.0,0.0,171025,11592300,4,0.00,0
-43.160747,-22.943061,315.3,0.7,325.8,171025,11592800,6,25.30,84
-43.160766,-22.943359,226.0,0.0,323.2,171025,11593300,6,27.60,76
-43.160766,-22.943370,218.2,0.5,130.5,171025,11593900,6,27.60,76
-43.160758,-22.943384,208.7,0.3,98.2,171025,11594400,6,27.60,76
-43.160755,-22.943384,205.7,0.6,32.0,171025,11594900,7,27.60,76
-43.160675,-22.943368,211.6,1.3,66.8,171025,11595500,7,27.60,76
-43.160640,-22.943391,215.2,0.8,125.4,171025,12000000,7,27.60,76
-43.160644,-22.943382,227.4,1.0,272.7,171025,12000500,7,27.60,76
-43.160652,-22.943353,252.6,1.1,325.3,171025,12001100,7,28.00,75
-43.160667,-22.943338,257.5,1.1,314.7,171025,12001600,6,28.00,75
-43.160667,-22.943326,265.1,0.5,353.5,171025,12002100,7,28.00,75
-43.160671,-22.943340,268.0,0.5,269.2,171025,12002700,7,27.90,76
-43.160675,-22.943330,269.0,0.4,294.3,171025,12003200,7,27.60,76
-43.160694,-22.943317,267.4,0.7,322.3,171025,12003800,7,27.60,76
-43.160690,-22.943319,264.1,0.0,340.9,171025,12004300,7,27.60,76
-43.160686,-22.943332,261.2,0.0,37.9,171025,12004800,6,27.60,76
-43.160686,-22.943330,260.5,0.0,313.8,171025,12005400,7,27.60,76
-43.160686,-22.943330,260.2,0.1,295.2,171025,12005900,6,27.60,76
-43.160686,-22.943330,259.8,0.1,280.7,171025,12010400,6,27.60,76
-43.160686,-22.943330,259.2,0.0,331.9,171025,12011000,6,27.60,76
-43.160686,-22.943330,258.5,0.1,305.6,171025,12011500,7,27.60,76
-43.160686,-22.943330,256.9,0.0,194.9,171025,12012000,6,27.60,76
-43.161071,-22.943384,1.3,0.9,256.5,171025,12012600,7,27.60,76
-43.161132,-22.943387,-9.5,2.6,270.3,171025,12013100,7,27.60,77
-43.161216,-22.943376,-3.9,3.3,272.4,171025,12013600,7,27.60,77
-43.161281,-22.943382,1.6,0.6,174.6,171025,12014200,7,27.60,77
-43.161285,-22.943380,0.3,0.6,244.1,171025,12014700,7,27.60,76
-43.161277,-22.943370,-0.3,0.2,36.4,171025,12015300,7,27.60,76
-43.161354,-22.943384,-1.0,4.4,259.9,171025,12015800,7,27.60,76
-43.161598,-22.943418,-3.6,14.4,264.2,171025,12020300,7,27.60,75
-43.162010,-22.943609,-3.9,19.0,237.1,171025,12020900,7,27.20,75
-43.162330,-22.943880,-3.0,18.2,228.4,171025,12021400,7,27.10,74
-43.162597,-22.944179,-4.9,18.5,220.4,171025,12021900,7,27.10,74
-43.162902,-22.944633,-3.3,20.9,210.2,171025,12022500,7,27.10,74
-43.163143,-22.945055,1.0,22.3,208.8,171025,12023000,7,27.10,73
-43.163433,-22.945457,3.6,23.6,212.8,171025,12023500,7,26.70,73
-43.163677,-22.945903,8.2,18.7,195.7,171025,12024100,7,26.70,73
-43.163642,-22.946289,10.8,18.5,158.2,171025,12024600,7,26.70,73
-43.163475,-22.946657,15.4,17.5,157.4,171025,12025100,7,26.70,73
-43.163341,-22.946924,23.6,8.1,159.2,171025,12025700,6,26.20,73
-43.163230,-22.947072,29.9,13.2,154.6,171025,12030200,7,26.20,73
-43.163040,-22.947345,37.4,13.2,156.5,171025,12030800,7,26.20,73
-43.162986,-22.947397,44.0,0.1,160.6,171025,12031300,6,26.20,73
-43.162986,-22.947393,48.2,0.0,160.6,171025,12031800,6,26.20,73
-43.162986,-22.947395,48.2,0.0,160.6,171025,12032400,6,26.20,73
-43.162986,-22.947397,48.2,0.0,160.6,171025,12032900,6,25.80,73
-43.162986,-22.947406,48.2,2.1,160.6,171025,12033400,6,25.80,73
-43.162887,-22.947586,47.9,10.3,153.8,171025,12034000,6,25.80,73
-43.162712,-22.947801,48.2,13.5,155.7,171025,12034500,6,25.80,73
-43.162555,-22.948043,50.2,12.3,159.6,171025,12035000,7,25.80,73
-43.162654,-22.948345,52.8,13.7,235.3,171025,12035600,7,25.80,73
-43.163017,-22.948446,56.8,14.3,258.7,171025,12040100,7,25.80,73
-43.163421,-22.948518,58.7,15.7,257.0,171025,12040700,7,25.80,73
-43.163776,-22.948429,63.6,16.0,307.6,171025,12041200,7,25.30,73
-43.164173,-22.948143,65.9,19.2,313.6,171025,12041800,7,25.30,73
-43.164516,-22.947940,70.9,19.9,296.9,171025,12042300,7,25.30,73
-43.164882,-22.947893,75.5,18.4,271.6,171025,12042800,7,25.30,73
-43.165412,-22.948163,77.8,21.1,230.4,171025,12043400,7,25.30,73
-43.165760,-22.948444,81.0,19.8,229.4,171025,12043900,7,25.30,73
-43.166065,-22.948696,82.0,17.7,229.6,171025,12044400,7,25.30,73
-43.166290,-22.948867,85.0,9.2,228.8,171025,12045000,7,25.30,73
-43.166473,-22.949043,87.6,15.2,223.7,171025,12045500,7,25.30,73
-43.166805,-22.949323,85.0,22.9,227.5,171025,12050000,7,25.30,73
-43.167293,-22.949695,85.3,23.1,230.9,171025,12050600,7,25.30,73
-43.167633,-22.949983,86.6,17.8,218.1,171025,12051100,7,25.00,73
-43.167781,-22.950300,87.9,13.5,199.8,171025,12051600,7,24.90,73
-43.167839,-22.950399,91.2,0.0,201.5,171025,12052200,7,24.90,73
-43.167842,-22.950410,90.6,0.0,201.5,171025,12052700,7,24.90,73
-43.167850,-22.950418,90.6,0.0,201.5,171025,12053300,7,24.80,73
-43.167850,-22.950418,90.6,0.0,201.5,171025,12053800,7,24.80,73
-43.167850,-22.950422,90.6,2.9,188.7,171025,12054300,6,24.80,73
-43.167831,-22.950685,90.2,13.2,210.5,171025,12054900,7,24.80,73
-43.168056,-22.950923,87.3,15.4,226.9,171025,12055400,7,24.80,73
-43.168357,-22.951169,83.7,19.3,225.3,171025,12055900,7,24.80,73
-43.168651,-22.951417,76.8,10.1,218.2,171025,12060500,7,24.80,73
-43.168643,-22.951641,74.5,14.2,163.3,171025,12061000,7,24.80,73
-43.168521,-22.951988,73.2,19.1,162.7,171025,12061500,7,24.80,73
-43.168434,-22.952461,72.8,18.9,167.8,171025,12062100,7,24.80,73
-43.168315,-22.952840,73.2,19.9,162.3,171025,12062600,6,24.80,73
-43.168193,-22.953203,75.1,18.3,165.5,171025,12063100,6,24.80,74
-43.168071,-22.953569,77.1,15.1,164.3,171025,12063700,6,24.80,74
-43.167991,-22.953796,79.4,6.3,160.7,171025,12064300,6,24.80,74
-43.167884,-22.954004,81.0,15.1,164.3,171025,12064800,6,24.80,74
-43.167797,-22.954227,83.3,8.0,161.1,171025,12065300,6,24.90,74
-43.167938,-22.954330,87.3,11.0,266.1,171025,12065900,6,25.30,74
-43.168323,-22.954214,89.9,20.1,289.5,171025,12070400,6,25.30,74
-43.168804,-22.954030,94.5,25.4,288.1,171025,12070900,6,25.30,74
-43.169540,-22.953786,100.1,28.3,289.0,171025,12071500,6,25.30,74
-43.170143,-22.953624,103.7,26.0,285.9,171025,12072000,6,25.30,74
-43.170639,-22.953479,109.3,21.2,288.4,171025,12072500,6,25.30,73
-43.171222,-22.953292,109.3,22.0,292.9,171025,12073100,7,25.30,73
-43.171669,-22.953073,101.0,21.7,290.9,171025,12073600,7,25.00,73
-43.172111,-22.952905,96.8,22.5,292.3,171025,12074100,7,24.90,73
-43.172695,-22.952651,75.1,25.4,302.3,171025,12074700,7,24.80,73
-43.173080,-22.952392,71.9,20.1,306.8,171025,12075200,7,24.80,74
-43.173416,-22.952178,70.5,13.9,307.1,171025,12075800,7,24.80,74
-43.173542,-22.952079,71.2,4.9,312.2,171025,12080300,7,24.90,74
-43.173645,-22.952022,66.3,9.7,304.5,171025,12080800,7,24.90,74
-43.173980,-22.951843,60.0,17.9,300.6,171025,12081400,7,24.90,73
-43.174362,-22.951622,61.0,22.8,302.7,171025,12081900,7,24.80,73
-43.174755,-22.951419,54.1,14.4,299.9,171025,12082400,7,24.80,73
-43.174858,-22.951330,42.3,0.0,305.5,171025,12083000,7,24.80,73
-43.174858,-22.951339,40.0,0.0,305.5,171025,12083500,7,24.80,73
-43.174854,-22.951339,40.0,0.0,305.5,171025,12084000,7,24.80,73
-43.174858,-22.951333,40.4,4.3,311.0,171025,12084600,7,24.80,73
-43.175056,-22.951213,41.0,13.1,308.5,171025,12085100,7,24.80,73
-43.175392,-22.951007,40.7,19.8,302.3,171025,12085600,7,24.80,73
